pants_description,Avg_Discount
"Men Low Crotch Fade Jeans",2024.00
"Men Slim Fit High-Rise Jeans",2022.89
"Men Cotton  Regular Fit Jeans",2020.00
"Plus Size Regular Fit Jeans",2012.00
"Men Loose High Jeans",2011.00
"Men Stretchable Casual Jeans",2008.00
"Men  Baggy Fit Cargo Jeans",2007.00
"Slim-Fit Jeans",1999.00
"Men Bootcut Solid Jeans",1999.00
"Men Strechable Jeans",1999.00
"Men Mid-Rise Light Faded Jeans",1999.00
"Baggy Fit Low-Rise Jeans",1999.00
"Black Plain Baggy Fit",1999.00
"Men Cropped Tapered Fit Jeans",1999.00
"Men Slim Fit Cuffed Hem Jeans",1999.00
"Baggy Fit Carpenter Jeans",1999.00
"Baggy Mid-Rise Carpenter Jeans",1999.00
"Bleed Zero Skinny Fit Jeans",1999.00
"Skinny Fit Mid-Rise Jeans",1999.00
"Men Skinny Fit Low Rise Jeans",1994.27
"Men Bootcut Mid Rise Jeans",1993.00
"Urban Hike Relaxed Fit Jeans",1990.00
"Power-Stretch Jeans",1990.00
"Men Albert Super Slim Jeans",1987.00
"Plus Size Men Jeans",1982.75
"Men Slim Fit Whiskers Jeans",1980.60
"Men Loose Fit Cargos  Jeans",1979.00
"Men  Wide Leg Mid-Rise Jeans",1979.00
"Men Wide Leg Denim Jeans",1979.00
"Men Mid-Rise Solid Jeans",1979.00
"Men Bruce Skinny Fit Jeans",1979.00
"Men Bruce Fit Heavy Fade Jeans",1979.00
"Men Cotton  Jeans",1979.00
"Men Relaxed Heavy Fade Jeans",1979.00
"MenHigh-Rise Skinny Fit  Jeans",1979.00
"Men 512 Slim Tapered Fit Jeans",1978.36
"Bleed Zero Skinny Fit  Jeans",1977.00
"Men 65504 Skinny Fit Jeans",1973.44
"Men Loose Stretchable Jeans",1973.00
"Men Plus Size Heavy Fade Jeans",1972.71
"Clean Look Light Fade Jeans",1967.75
"Men Slim Fit Casual Jeans",1966.33
"Distressed flared Men Jeans",1962.00
"Men Classic Tapered Fit Jeans",1959.00
"Men Washed Clean Look Jeans",1959.00
"Men Low Distress  Jeans",1959.00
"Men Distressed Slim Fit Jeans",1959.00
"Men Twill Woven Slim Jeans",1954.00
"Mens Woven Slim Jeans",1954.00
"High-Rise Light Fade Jeans",1949.00
"Men Flared Embroidered Jeans",1949.00
"Men Comfort Jeans",1949.00
